Código Seção,Seção,Código Divisão,Divisão,Código Grupo,Grupo,Código Classe,Classe,Código Subclasse,Subclasse
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/07,Cultivo de melão
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/08,Cultivo de melancia
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/09,Cultivo de tomate rasteiro
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/01,"Horticultura, exceto morango"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/02,Cultivo de morango
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.22-9,Cultivo de flores e plantas ornamentais,0122-9/00,Cultivo de flores e plantas ornamentais
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.31-8,Cultivo de laranja,0131-8/00,Cultivo de laranja
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.32-6,Cultivo de uva,0132-6/00,Cultivo de uva
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/01,Cultivo de açaí
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/02,Cultivo de banana
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/03,Cultivo de caju
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/04,"Cultivo de cítricos, exceto laranja"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/05,Cultivo de coco da baía
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/06,Cultivo de guaraná
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/07,Cultivo de maçã
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/08,Cultivo de mamão
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/09,Cultivo de maracujá
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/10,Cultivo de manga
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/11,Cultivo de pêssego
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.34-2,Cultivo de café,0134-2/00,Cultivo de café
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.35-1,Cultivo de cacau,0135-1/00,Cultivo de cacau
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/01,Cultivo de chá da índia
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/02,Cultivo de erva mate
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/03,Cultivo de pimenta do reino
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/04,"Cultivo de plantas para condimento, exceto pimenta do reino"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/05,Cultivo de dendê
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/06,Cultivo de seringueira
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.4,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.4,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.4,Produção de sementes e mudas certificadas,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas",0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.51-2,Criação de bovinos,0151-2/01,Criação de bovinos para corte
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.51-2,Criação de bovinos,0151-2/02,Criação de bovinos para leite
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.51-2,Criação de bovinos,0151-2/03,"Criação de bovinos, exceto para corte e leite"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/01,Criação de bufalinos
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/02,Criação de eqüinos
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/03,Criação de asininos e muares
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/01,Criação de caprinos
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/02,"Criação de ovinos, inclusive para produção de lã"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.54-7,Criação de suínos,0154-7/00,Criação de suínos
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.55-5,Criação de aves,0155-5/01,Criação de frangos para corte
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.55-5,Criação de aves,0155-5/02,Produção de pintos de um dia
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.55-5,Criação de aves,0155-5/03,"Criação de outros galináceos, exceto para corte"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.55-5,Criação de aves,0155-5/04,"Criação de aves, exceto galináceos"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.55-5,Criação de aves,0155-5/05,Produção de ovos
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/01,Apicultura
